disease,model,run,llm_n,overlap_panther,overlap_enrichr,overlap_gprofiler,overlap_union,union_size,jaccard_union,recall_union
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run009,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run009,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run010,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run010,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run010,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run010,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run010,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run010,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run011,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run011,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run011,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run011,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run011,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run011,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run012,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run012,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run012,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run012,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run012,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run012,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run013,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run013,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run013,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run013,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run013,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run013,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run014,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run014,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run014,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run014,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run014,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run014,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run015,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run015,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run015,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run015,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run015,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run015,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run016,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run016,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run016,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run016,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run016,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run016,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run017,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run017,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run017,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run017,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run017,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run017,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run018,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run018,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run018,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run018,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run018,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run018,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run019,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run019,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run019,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run019,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run019,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run019,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run020,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run020,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run020,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run020,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run020,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run020,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run021,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run021,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run021,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run021,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run021,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run021,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run022,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run022,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run022,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run022,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run022,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run022,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run023,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run023,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run023,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run023,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run023,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run023,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run024,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run024,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run024,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run024,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run024,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run024,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run025,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run025,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run025,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run025,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run025,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run025,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run026,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run026,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run026,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run026,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run026,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run026,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run027,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run027,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run027,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run027,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run027,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run027,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run028,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run028,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run028,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run028,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run028,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run028,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run029,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run029,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run029,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run029,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run029,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run029,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run030,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run030,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run030,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run030,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run030,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run030,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run031,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run031,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run031,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run031,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run031,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run031,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run032,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run032,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run032,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run032,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run032,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run032,10,0,0,0,0,23,0.000,0.000
