disease,model,run,llm_n,overlap_panther,overlap_enrichr,overlap_gprofiler,overlap_union,union_size,jaccard_union,recall_union
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run033,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run033,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run033,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run033,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run033,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run033,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run034,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run034,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run034,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run034,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run034,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run034,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run035,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run035,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run035,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run035,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run035,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run035,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run036,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run036,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run036,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run036,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run036,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run036,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run037,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run037,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run037,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run037,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run037,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run037,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run038,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run038,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run038,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run038,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run038,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run038,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run039,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run039,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run039,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run039,9,0,0,0,0,19,0.000,0.000
