model,disease,run,llm_n,kept,dropped,coverage,zero_kept
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run011,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run011,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run011,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run011,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run011,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run012,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run012,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run012,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run012,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run012,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run012,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run013,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run013,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run013,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run013,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run013,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run013,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run014,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run014,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run014,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run014,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run014,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run014,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run015,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run015,10,5,5,0.500,0
