model,disease,run,llm_n,kept,dropped,coverage,zero_kept
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run040,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run040,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run040,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run040,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run040,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run041,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run041,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run041,10,6,4,0.600,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run041,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run041,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run041,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run042,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run042,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run042,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run042,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run042,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run042,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run043,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run043,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run043,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run043,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run043,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run043,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run044,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run044,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run044,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run044,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run044,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run044,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run045,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run045,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run045,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run045,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run045,10,6,4,0.600,0
