model,disease,run,llm_ids,unsupported,ane,valid_enriched
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run012,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run012,10,3,2,5
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run012,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run012,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run012,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run013,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run013,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run013,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run013,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run013,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run013,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run014,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run014,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run014,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run014,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run014,10,1,3,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run014,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run015,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run015,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run015,10,3,2,5
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run015,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run015,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run015,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run016,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run016,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run016,10,3,2,5
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run016,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run016,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run016,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run017,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run017,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run017,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run017,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run017,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run017,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run018,10,1,6,3
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run018,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run018,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run018,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run018,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run018,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run019,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run019,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run019,10,3,1,6
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run019,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run019,10,1,3,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run019,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run020,10,1,6,3
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run020,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run020,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run020,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run020,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run020,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run021,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run021,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run021,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run021,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run021,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run021,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run022,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run022,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run022,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run022,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run022,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run022,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run023,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run023,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run023,10,3,1,6
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run023,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run023,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run023,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run024,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run024,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run024,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run024,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run024,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run024,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run025,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run025,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run025,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run025,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run025,10,0,3,7
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run025,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run026,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run026,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run026,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run026,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run026,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run026,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run027,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run027,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run027,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run027,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run027,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run027,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run028,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run028,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run028,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run028,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run028,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run028,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run029,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run029,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run029,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run029,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run029,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run029,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run030,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run030,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run030,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run030,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run030,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run030,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run031,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run031,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run031,10,3,1,6
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run031,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run031,10,1,3,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run031,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run032,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run032,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run032,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run032,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run032,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run032,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run033,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run033,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run033,10,3,2,5
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run033,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run033,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run033,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run034,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run034,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run034,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run034,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run034,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run034,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run035,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run035,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run035,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run035,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run035,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run035,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run036,10,1,6,3
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run036,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run036,10,3,2,5
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run036,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run036,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run036,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run037,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run037,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run037,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run037,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run037,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run037,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run038,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run038,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run038,10,3,1,6
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run038,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run038,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run038,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run039,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run039,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run039,10,3,2,5
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run039,9,1,6,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run039,10,1,3,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run039,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run040,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run040,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run040,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run040,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run040,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run040,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run041,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run041,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run041,10,3,1,6
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run041,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run041,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run041,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run042,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run042,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run042,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run042,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run042,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run042,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run043,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run043,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run043,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run043,10,1,6,3
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run043,10,1,3,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run043,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run044,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run044,10,0,5,5
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run044,10,6,1,3
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run044,10,1,7,2
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run044,10,0,4,6
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run044,10,0,10,0
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run045,10,1,5,4
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run045,10,0,5,5
